Name,ASCII Name,Population,Coordinates
Heist-op-den-Berg,Heist-op-den-Berg,37873,"51.07537, 4.72827"
Harchies,Harchies,1918,"50.47963, 3.69347"
Florennes,Florennes,10723,"50.25127, 4.60636"
Fleurus,Fleurus,22080,"50.48351, 4.55006"
Eugies,Eugies,3160,"50.38893, 3.88513"
Eke,Eke,5168,"50.95929, 3.6396"
Dworp,Dworp,5470,"50.72983, 4.30106"
Denderhoutem,Denderhoutem,6000,"50.87234, 4.01821"
Daverdisse,Daverdisse,1299,"50.02161, 5.11811"
Clabecq,Clabecq,4782,"50.69245, 4.2215"
Chièvres,Chievres,6045,"50.58787, 3.80711"
Bomal,Bomal,1436,"50.37634, 5.52382"
Blaugies,Blaugies,1401,"50.37218, 3.80582"
Bekegem,Bekegem,1060,"51.15976, 3.0457"
Beauraing,Beauraing,8242,"50.11042, 4.95554"
Astene,Astene,4935,"50.98512, 3.56654"
Amblève,Ambleve,5221,"50.35357, 6.17002"
Reuland,Reuland,1592,"50.19553, 6.13548"
Zlataritsa,Zlataritsa,2468,"43.05, 25.9"
Targovishte,Targovishte,34793,"43.2512, 26.57215"
Saedinenie,Saedinenie,6427,"42.26667, 24.55"
Spasovo,Spasovo,0,"43.70168, 28.30399"
Smolyan,Smolyan,26167,"41.57439, 24.71204"
Knezha,Knezha,6889,"43.5, 24.08333"
Chelopech,Chelopech,1760,"42.7, 24.08333"
Blagoevgrad,Blagoevgrad,67810,"42.01667, 23.1"
Balchik,Balchik,13000,"43.42166, 28.15848"
Antonovo,Antonovo,1543,"43.15022, 26.16032"
Asvieja,Asvieja,1300,"56.0147, 28.11049"
Novaya Huta,Novaya Huta,2159,"52.1032, 30.9837"
Dowsk,Dowsk,1840,"53.1571, 30.4601"
Schomyslitsa,Schomyslitsa,1822,"53.8211, 27.4522"
Yubilyeyny,Yubilyeyny,3000,"53.8191, 27.5215"
El Tarter,El Tarter,1052,"42.57952, 1.65362"
Pas de la Casa,Pas de la Casa,2363,"42.54277, 1.73361"
Andorra la Vella,Andorra la Vella,20430,"42.50779, 1.52109"
Zerqan,Zerqan,0,"41.50222, 20.36056"
Shushicë,Shushice,0,"41.0975, 20.14833"
Qestorat,Qestorat,0,"40.1175, 20.19972"
Picar,Picar,0,"40.16667, 20.04833"
Klos,Klos,0,"40.94611, 20.00972"
Uznovë,Uznove,2569,"40.69722, 19.98028"
Koplik,Koplik,4078,"42.21361, 19.43639"
Kamëz,Kamez,11026,"41.38167, 19.76028"
Goraj,Goraj,1714,"40.81194, 19.9475"
Zwölfaxing,Zwoelfaxing,1744,"48.1099, 16.46267"
Zwettl Stadt,Zwettl Stadt,3900,"48.60726, 15.16714"
Zirl,Zirl,8162,"47.2741, 11.23961"
Zams,Zams,3148,"47.15844, 10.5897"
Wundschuh,Wundschuh,777,"46.92639, 15.45111"
Wolfsberg im Schwarzautal,Wolfsberg im Schwarzautal,551,"46.84389, 15.65889"
Wilfleinsdorf,Wilfleinsdorf,1106,"48.01667, 16.71667"
Wiesen,Wiesen,2691,"47.73776, 16.33798"
Wies,Wies,409,"46.72028, 15.27194"
Weitersfelden,Weitersfelden,342,"48.4773, 14.72546"
Weilbach,Weilbach,176,"48.27725, 13.37165"
Wattenberg,Wattenberg,739,"47.28333, 11.6"
Wartberg,Wartberg,1958,"47.52717, 15.48095"
Murau,Murau,3534,"47.11056, 14.16944"
Übersaxen,UEbersaxen,629,"47.25284, 9.6708"
Tschagguns,Tschagguns,2195,"47.07391, 9.90267"
Trieben,Trieben,2408,"47.48574, 14.48744"
Stratzing,Stratzing,827,"48.45, 15.6"
Strasswalchen,Strasswalchen,3765,"47.97947, 13.25535"
Stockerau,Stockerau,16292,"48.38333, 16.21667"
Stegersbach,Stegersbach,2658,"47.16667, 16.16667"
Stans,Stans,1928,"47.36667, 11.71667"
Spital am Pyhrn,Spital am Pyhrn,1435,"47.66487, 14.34014"
Seebenstein,Seebenstein,924,"47.69936, 16.14484"
Scharndorf,Scharndorf,408,"48.09399, 16.79883"
Sankt Marein im Mürztal,Sankt Marein im Muerztal,1436,"47.46667, 15.36667"
Ried in der Riedmark,Ried in der Riedmark,1306,"48.27114, 14.52796"
Reifling,Reifling,60,"47.13333, 14.66667"
Pfaffstätten,Pfaffstaetten,3458,"48.01737, 16.26354"
Perlsdorf,Perlsdorf,337,"46.91361, 15.81417"
Penz,Penz,1905,"48.03333, 14.48333"
Peggau,Peggau,1949,"47.2, 15.35"
Osterwitz,Osterwitz,135,"46.85943, 15.08998"
Oslip,Oslip,1243,"47.82906, 16.61957"
Oberwölz Stadt,Oberwoelz Stadt,396,"47.20117, 14.28321"
Niederneukirchen,Niederneukirchen,1083,"48.16093, 14.33965"
Neufeld an der Leitha,Neufeld an der Leitha,3418,"47.86558, 16.37856"
